link,header,time,thumbnail,summary,date
/news-releases/uk-automotive-market-2021---signs-of-recovery-apparent-after-pandemic-slump-301429095.html,UK Automotive Market 2021 - Signs of Recovery Apparent After Pandemic Slump,2021-11-19 15:30:00,https://mma.prnewswire.com/media/539438/Research_and_Markets_Logo.jpg?p=thumbnail,"The ""United Kingdom Automotive Market Outlook, 2021 - Passenger Cars, Commercial Vehicles, Ev Market Size, Share, Companies and Developments"" report...",2021-11-19
/news-releases/steel-dynamics-recognized-as-the-2021-steel-producer-of-the-year-at-the-fastmarkets-global-awards-for-steel-excellence-301429281.html,Steel Dynamics Recognized as the 2021 Steel Producer of the Year at the Fastmarkets Global Awards for Steel Excellence,2021-11-19 15:30:00,,"Steel Dynamics, Inc. (NASDAQ/GS: STLD) announced that Steel Dynamics, Inc. was recognized as the ""2021 Steel Producer of the Year"" on Monday,...",2021-11-19
/news-releases/xpr-augusta-expands-vip-concert-lineup-with-nelly-and-pitbull-announces-unbelievable-new-daytime-experiences-during-tournament-week-301429292.html,"XPR AUGUSTA Expands VIP Concert Lineup With Nelly and Pitbull, Announces Unbelievable New Daytime Experiences During Tournament Week",2021-11-19 15:29:00,https://mma.prnewswire.com/media/1693287/BlackTank_LVScarf.jpg?p=thumbnail,"Plans for XPR AUGUSTA are heating up. C4 Live, the leader in innovative entertainment lifestyle events, today announces two, new opening acts – Nelly ...",2021-11-19
/news-releases/nab-show-adds-intelligent-content-showcase-to-2022-experience-301429291.html,NAB Show Adds 'Intelligent Content' Showcase to 2022 Experience,2021-11-19 15:28:00,https://mma.prnewswire.com/media/1675773/NABShow_Logo.jpg?p=thumbnail,"A new showcase will explore the transformative impact of data, artificial intelligence and automation on the media and entertainment industry at the...",2021-11-19
/news-releases/through-new-partnership-great-minds-to-become-exclusive-provider-of-superdville-programs-301429288.html,"Through New Partnership, Great Minds to Become Exclusive Provider of SuperDville Programs",2021-11-19 15:24:00,https://mma.prnewswire.com/media/1491569/Great_Minds_Logo.jpg?p=thumbnail,"Great Minds PBC, the developer of highly-rated core curricula, today announced a new partnership with SuperDville™ to be the exclusive nationwide...",2021-11-19
/news-releases/altimeter-growth-corp-announces-effectiveness-of-registration-statement-and-extraordinary-general-meeting-date-for-proposed-business-combination-with-grab-301429287.html,Altimeter Growth Corp. Announces Effectiveness of Registration Statement and Extraordinary General Meeting Date for Proposed Business Combination with Grab,2021-11-19 15:23:00,,"Altimeter Growth Corp. (""AGC"" or the ""Company"") (NASDAQ: AGC), a publicly traded special purpose acquisition company, today announced that the U.S....",2021-11-19
/news-releases/dr-robert-s-bray-jr-headlines-zeiss-spine-week-with-educational-keynote-301429284.html,"Dr. Robert S. Bray, Jr. Headlines ZEISS Spine Week with Educational Keynote",2021-11-19 15:18:00,https://mma.prnewswire.com/media/1693260/bray_zeiss_microscope.jpg?p=thumbnail,"WHAT: Pioneering neurological spine surgeon Dr. Robert S. Bray, Jr. is delivering an educational keynote presentation -- The Operating Microscope's...",2021-11-19
/news-releases/alcantara--maxxi-project-celebrates-its-10th-anniversary-301429283.html,Alcantara - MAXXI Project Celebrates Its 10th Anniversary,2021-11-19 15:17:00,https://mma.prnewswire.com/media/1693278/Alcantara_MAXXI.jpg?p=thumbnail,The 10th anniversary of Alcantara's creative partnership with the National Museum of 21st Century Arts (MAXXI) was marked today (Nov. 19) by the...,2021-11-19
/news-releases/global-release-coatings-market-2020-to-2025---apac-estimated-to-be-the-fastest-growing-market-for-release-coating-301429092.html,Global Release Coatings Market (2020 to 2025) - APAC Estimated to be the Fastest-Growing Market for Release Coating,2021-11-19 15:15:00,https://mma.prnewswire.com/media/539438/Research_and_Markets_Logo.jpg?p=thumbnail,"The ""Global Release Coatings Market by Material (Silicone, Non-Silicone), Formulation (Solvent-based, Solventless, Emulsions), Release Liner,...",2021-11-19
/news-releases/bmo-announces-2021-celebrating-women-grant-recipients-on-international-womens-entrepreneurship-day-301429282.html,BMO Announces 2021 Celebrating Women Grant Recipients on International Women's Entrepreneurship Day,2021-11-19 15:15:00,https://mma.prnewswire.com/media/1693246/BMO_Harris_Bank_BMO_Announces_2021_Celebrating_Women_Grant_Recip.jpg?p=thumbnail,"$80,000 in grants awarded to 8 U.S. women-owned businesses CHICAGO, Nov. 19, 2021 /PRNewswire/ - BMO Harris Bank announced today the 2021 recipients...",2021-11-19
