link,header,time,thumbnail,summary,date
/news-releases/honda-tests-prototype-autonomous-work-vehicle-at-solar-construction-site-with-black--veatch-301423487.html,Honda Tests Prototype Autonomous Work Vehicle at Solar Construction Site with Black & Veatch,2021-11-15 09:15:00,https://i.ytimg.com/vi/BRtGYnBNG7U/hqdefault.jpg,Honda and Black & Veatch have successfully tested the prototype Honda Autonomous Work Vehicle (AWV) at a Black & Veatch construction site in New...,2021-11-15
/news-releases/embraer-sa-embraer-announces-a-contract-with-overland-airways-for-up-to-six-e175s-301424101.html,EMBRAER S.A.: Embraer Announces a Contract with Overland Airways for Up to Six E175s,2021-11-15 09:14:00,,"Embraer (B3: EMBR3, NYSE: ERJ) has announced today, at the Dubai Air Show, a firm order for three new E175, plus three purchase rights for the same...",2021-11-15
/news-releases/washington-trust-rebrands-wealth-management-division-301424100.html,Washington Trust Rebrands Wealth Management Division,2021-11-15 09:14:00,https://mma.prnewswire.com/media/1653383/Washington_Trust_Stacked_Logo.jpg?p=thumbnail,"The Washington Trust Company today announced it is rebranding its wealth management offices across Rhode Island, Massachusetts, and Connecticut under ...",2021-11-15
/news-releases/e-steiermark-comenzara-en-2022-la-primera-produccion-verde-de-hidrogeno-de-austria-para-el-mercado-industrial-811431293.html,E-Steiermark comenzará en 2022 la primera producción «verde» de hidrógeno de Austria para el mercado industrial,2021-11-15 09:12:00,,"La decisión está tomada: Energie Steiermark construirá en Gabersdorf, en el sur de Estiria, la primera planta externa de producción de hidrógeno...",2021-11-15
/news-releases/buybacks-of-shares-in-alfa-laval-during-week-45-2021-301424096.html,"Buybacks of shares in Alfa Laval during week 45, 2021",2021-11-15 09:12:00,,"During the period November 8 - November 12, 2021, Alfa Laval AB (publ) (LEI code: 549300UCKT2UK88AG251) has repurchased in total 109,000 own shares...",2021-11-15
/news-releases/shareholder-alert--pomerantz-law-firm-reminds-shareholders-with-losses-on-their-investment-in-nano-x-imaging-ltd-of-class-action-lawsuit-and-upcoming-deadline--nnox-301423599.html,SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Nano-X Imaging Ltd. of Class Action Lawsuit and Upcoming Deadline - NNOX,2021-11-15 09:11:00,https://mma.prnewswire.com/media/1486339/Pomerantz_Logo.jpg?p=thumbnail,"Pomerantz LLP announces that a class action lawsuit has been filed against Nano-X Imaging Ltd. (""Nano-X"" or the ""Company"") (NASDAQ: NNOX) and certain ...",2021-11-15
/news-releases/kaufman-hall-acquires-hre-capital-301424094.html,Kaufman Hall Acquires HRE Capital,2021-11-15 09:11:00,https://mma.prnewswire.com/media/1495629/Kaufman_Hall_Logo.jpg?p=thumbnail,"Kaufman, Hall & Associates, LLC (""Kaufman Hall""), a leading healthcare and higher education management consulting and advisory services firm, has...",2021-11-15
/news-releases/zesty-raises-35-million-series-a-to-simplify-cloud-management-with-ai-driven-automation-301423912.html,Zesty Raises $35 Million Series A to Simplify Cloud Management with AI-Driven Automation,2021-11-15 09:10:00,https://mma.prnewswire.com/media/1688135/Zesty.jpg?p=thumbnail,"Zesty, a provider of AI-driven cloud management technologies for real-time optimization, today announced a $35 million Series A funding round led by...",2021-11-15
/news-releases/carsgen-announces-car-t-cell-product-candidate-ct041-granted-prime-eligibility-by-the-ema-301424092.html,CARsgen Announces CAR T-cell Product Candidate CT041 Granted PRIME Eligibility by the EMA,2021-11-15 09:10:00,https://mma.prnewswire.com/media/1687814/logo____01.jpg?p=thumbnail,"CARsgen Therapeutics Holdings Limited (Stock Code: 2171.HK), a company focused on innovative CAR T-cell therapies for the treatment of hematologic...",2021-11-15
/news-releases/kessler-topaz-meltzer--check-llp-reminds-investors-of-deadline-in-securities-fraud-class-action-against-on24-inc-301423492.html,"Kessler Topaz Meltzer & Check, LLP Reminds Investors of Deadline in Securities Fraud Class Action Against ON24, Inc.",2021-11-15 09:09:00,https://mma.prnewswire.com/media/1687334/ON24__Press_Release_Mp4_Final.mp4?p=medium,"The law firm of Kessler Topaz Meltzer & Check, LLP informs investors that a securities class action lawsuit has been filed against ON24, Inc....",2021-11-15
/news-releases/optiv-expands-focus-on-safeguarding-federal-sector-from-cyber-threats-301424091.html,Optiv Expands Focus on Safeguarding Federal Sector from Cyber Threats,2021-11-15 09:09:00,https://mma.prnewswire.com/media/1687366/Optiv_Nycki_Brooks.jpg?p=thumbnail,"Optiv, the cyber advisory and solutions leader, is expanding to ensure the successful delivery of strategic services in the federal sector, helping...",2021-11-15
/news-releases/e-steiermark-comenzara-en-2022-la-primera-produccion-verde-de-hidrogeno-de-austria-para-el-mercado-industrial-834527959.html,E-Steiermark comenzará en 2022 la primera producción «verde» de hidrógeno de Austria para el mercado industrial,2021-11-15 09:09:00,,"La decisión está tomada: Energie Steiermark construirá en Gabersdorf, en el sur de Estiria, la primera planta externa de producción de hidrógeno...",2021-11-15
/news-releases/shareholder-alert--pomerantz-law-firm-reminds-shareholders-with-losses-on-their-investment-in-lightning-emotors-inc-fka-gigcapital3-inc-of-class-action-lawsuit-and-upcoming-deadline--zev-zevws-301423598.html,"SHAREHOLDER ALERT: Pomerantz Law Firm Reminds Shareholders with Losses on their Investment in Lightning eMotors, Inc. f/k/a GigCapital3, Inc. of Class Action Lawsuit and Upcoming Deadline - ZEV; ZEV.WS",2021-11-15 09:08:00,https://mma.prnewswire.com/media/1486339/Pomerantz_Logo.jpg?p=thumbnail,"Pomerantz LLP announces that a class action lawsuit has been filed against Lightning eMotors, Inc. (""Lightning eMotors"" or the ""Company"") f/k/a...",2021-11-15
/news-releases/checkers--rallys-beefs-and-butters-up-a-classic-for-a-limited-time-301423691.html,Checkers® & Rally's® Beefs (and Butters) Up a Classic for a Limited Time,2021-11-15 09:07:00,https://mma.prnewswire.com/media/1687635/Garlic_Butter_Bacon_Buford.jpg?p=thumbnail,"Checkers & Rally's, an iconic and innovative drive-thru restaurant chain known for its bold and flavorful food at an exceptional value and its...",2021-11-15
/news-releases/deloitte-and-sanofi-automate-pharmacovigilance-case-processing-301424029.html,Deloitte and Sanofi Automate Pharmacovigilance Case Processing,2021-11-15 09:07:00,https://mma.prnewswire.com/media/379251/Deloitte_Logo.jpg?p=thumbnail,"Deloitte and Sanofi have collaborated on a next-generation, artificial intelligence (AI) software-as-a-service adverse events case intake platform...",2021-11-15
/news-releases/aappl-now-available-for-elementary-learners-of-chinese-mandarin-301424065.html,AAPPL Now Available for Elementary Learners of Chinese (Mandarin),2021-11-15 09:07:00,https://mma.prnewswire.com/media/1028014/ACTFL_horizontal_bluegradient_logo.jpg?p=thumbnail,"ACTFL and Language Testing International (LTI), the exclusive licensee of ACTFL assessments, are pleased to announce that the AAPPL Form E will now...",2021-11-15
/news-releases/burgeoning-crypto-and-blockchain-startups-to-capitalize-on-virtual-hiring-event-301424088.html,Burgeoning Crypto and Blockchain Startups to Capitalize on Virtual Hiring Event,2021-11-15 09:07:00,https://mma.prnewswire.com/media/1654247/Hirect_Logo.jpg?p=thumbnail,"From NBA star Steph Curry dropping a cool $180,000 on a Non-Fungible Token (NFT) to tech giant Elon Musk's revelation of SpaceX's upcoming...",2021-11-15
/news-releases/rei-systems-named-2021-contractor-of-the-year-at-the-greater-washington-govcon-awards-301423693.html,REI Systems Named 2021 Contractor of the Year at the Greater Washington GovCon Awards,2021-11-15 09:07:00,https://mma.prnewswire.com/media/364170/rei_systems_logo.jpg?p=thumbnail,REI Systems won the Contractor of the Year Award in the $75 million–$300 million category at the Greater Washington GovCon Awards. The Greater...,2021-11-15
